1787956325.340 >>> HELLO
1787956325.355 device NEZHA2 robot gopiv 2175407711
1787956326.360 >>> GET max_duty #1
1787956326.380 ack 1 4 timeout
1787956326.380 get max_duty 100.000008
1787956327.385 >>> GET full_duty_velocity #2
1787956327.405 ack 2 4 timeout
1787956327.408 get full_duty_velocity 10795.000977
1787956328.413 >>> GET pid_ki #3
1787956328.426 ack 3 4 timeout
1787956328.428 get pid_ki 6.000000
1787956329.432 >>> GET pid_i_max #4
1787956329.446 ack 4 4 timeout
1787956329.446 get pid_i_max 765.600037
1787956330.530 >>> GET pid_kp #5
1787956330.547 ack 5 4 timeout
1787956330.548 get pid_kp 0.000000
1787956331.582 >>> GET pid_kaff #6
1787956331.602 ack 6 4 timeout
1787956331.602 err 1 #6
1787956332.619 >>> GET pid_max #7
1787956332.639 ack 7 4 timeout
1787956332.639 get pid_max 1276.000000
1787956333.657 >>> GET twist_hold_gain #8
1787956333.679 ack 8 4 timeout
1787956333.679 get twist_hold_gain 2.000000
1787956334.682 >>> TLM FULL #9
1787956334.701 ack 9 4 timeout
1787956334.705 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787956341.409 t 67 1012283 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.463 t 68 1012335 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.513 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787956341.525 t 69 1012387 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.565 t 70 1012439 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.614 >>> WHEELS_V -2000 -2000 3000 #11
1787956341.628 t 71 1012491 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.629 ack 11 10 timeout
1787956341.690 t 72 1012561 31 1778 -1243 -8060 0 0 0 -48 -48 0 398 31736 29594 -5000 -5000 0 0 0
1787956341.768 t 73 1012633 31 1774 -1220 -7902 0 0 0 -503 -440 0 401 31416 29316 -10000 -10000 0 0 0
1787956341.839 t 74 1012705 31 1764 -1175 -7608 0 0 0 -730 -626 0 404 30800 28778 -10000 -10000 0 0 0
1787956341.907 t 75 1012777 31 1750 -1125 -7356 0 0 0 -768 -709 0 407 30105 28150 -10000 -10000 0 0 0
1787956341.993 t 76 1012849 31 1734 -1073 -7296 0 0 0 -712 -749 0 410 29411 27472 -10000 -10000 0 0 0
1787956342.048 t 77 1012921 31 1718 -1022 -7243 0 0 0 -748 -729 0 413 28719 26794 -10000 -10000 0 0 0
1787956342.121 t 78 1012993 31 1701 -971 -7149 0 0 0 -758 -719 0 416 28022 26122 -10000 -10000 0 0 0
1787956342.192 t 79 1013065 31 1683 -920 -7044 0 0 0 -765 -729 0 419 27322 25450 -10000 -10000 0 0 0
1787956342.265 t 80 1013137 31 1665 -868 -7010 0 0 0 -768 -754 0 422 26627 24764 -10000 -10000 0 0 0
1787956342.345 t 81 1013209 31 1646 -817 -6972 0 0 0 -774 -755 0 425 25925 24072 -10000 -10000 0 0 0
1787956342.409 t 82 1013281 31 1627 -766 -6961 0 0 0 -765 -748 0 428 25233 23383 -10000 -10000 0 0 0
1787956342.484 t 83 1013353 31 1607 -715 -6920 0 0 0 -765 -746 0 431 24539 22700 -10000 -10000 0 0 0
1787956342.553 t 84 1013425 31 1588 -665 -6856 0 0 0 -758 -747 0 434 23844 22022 -10000 -10000 0 0 0
1787956342.748 t 85 1013497 31 1567 -614 -6803 0 0 0 -758 -756 0 437 23144 21336 -10000 -10000 0 0 0
1787956342.766 t 86 1013569 31 1547 -564 -6822 0 0 0 -759 -755 0 440 22452 20639 -10000 -10000 0 0 0
1787956342.769 t 87 1013641 31 1526 -513 -6848 0 0 0 -765 -764 0 443 21764 19944 -10000 -10000 0 0 0
1787956342.847 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787956342.848 t 88 1013713 31 1506 -463 -6814 0 0 0 -765 -748 0 446 21072 19261 -10000 -10000 0 0 0
1787956342.913 t 89 1013785 31 1485 -412 -6743 0 0 0 -743 -743 0 449 20369 18577 -10000 -10000 0 0 0
1787956342.985 t 90 1013857 31 1464 -362 -6702 0 0 0 -754 -748 0 452 19675 17894 -10000 -10000 0 0 0
1787956343.064 t 91 1013929 31 1443 -312 -6709 0 0 0 -758 -755 0 455 18980 17197 -10000 -10000 0 0 0
1787956343.131 t 92 1014001 31 1421 -261 -6732 0 0 0 -765 -775 0 458 18286 16497 -10000 -10000 0 0 0
1787956343.204 t 93 1014073 31 1400 -211 -6709 0 0 0 -764 -739 0 461 17594 15811 -10000 -10000 0 0 0
1787956343.274 t 94 1014145 31 1378 -161 -6630 0 0 0 -781 -738 0 464 16889 15127 -10000 -10000 0 0 0
1787956343.352 t 95 1014217 31 1356 -112 -6607 0 0 0 -765 -748 0 467 16200 14444 -10000 -10000 0 0 0
1787956343.419 t 96 1014289 31 1334 -62 -6607 0 0 0 -764 -765 0 470 15500 13744 -10000 -10000 0 0 0
1787956343.487 t 97 1014361 31 1311 -11 -6596 0 0 0 -765 -755 0 473 14800 13047 -10000 -10000 0 0 0
1787956343.560 t 98 1014433 31 1288 39 -6615 0 0 0 -768 -785 0 476 14102 12344 -10000 -10000 0 0 0
1787956343.633 t 99 1014505 31 1266 89 -6543 0 0 0 -765 -749 0 479 13397 11658 -10000 -10000 0 0 0
1787956343.703 t 100 1014577 31 1242 138 -6438 0 0 0 -785 -738 0 482 12688 10977 -10000 -10000 0 0 0
1787956343.780 t 101 1014649 31 1218 188 -6419 0 0 0 -765 -768 0 485 11983 10277 -10000 -10000 0 0 0
1787956343.848 t 102 1014721 31 1194 238 -6419 0 0 0 -755 -768 0 488 11283 9577 -10000 -10000 0 0 0
1787956343.948 t 103 1014793 31 1170 287 -6385 0 0 0 -774 -755 0 491 10580 8883 -10000 -10000 0 0 0
1787956343.991 t 104 1014865 31 1145 336 -6291 0 0 0 -804 -748 0 494 9866 8194 -10000 -10000 0 0 0
1787956344.063 t 105 1014937 31 1120 385 -6239 0 0 0 -775 -746 0 497 9169 7511 -10000 -10000 0 0 0
1787956344.139 t 106 1015009 31 1094 433 -6190 0 0 0 -775 -768 0 500 8461 6816 -10000 -10000 0 0 0
1787956344.208 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787956344.219 t 107 1015081 31 1068 482 -6201 0 0 0 -775 -778 0 503 7761 6113 -10000 -10000 0 0 0
1787956344.290 t 108 1015153 31 1042 531 -6190 0 0 0 -774 -760 0 506 7061 5416 -10000 -10000 0 0 0
1787956344.352 t 109 1015225 31 1016 579 -6163 0 0 0 -785 -755 0 509 6363 4725 -10000 -10000 0 0 0
1787956344.423 t 110 1015297 31 989 627 -6081 0 0 0 -793 -755 0 512 5652 4036 -10000 -10000 0 0 0
1787956344.497 t 111 1015369 31 962 675 -6043 0 0 0 -764 -765 0 515 4950 3344 -10000 -10000 0 0 0
1787956344.574 t 112 1015441 31 935 723 -6066 0 0 0 -766 -778 0 518 4250 2638 -10000 -10000 0 0 0
1787956344.646 t 113 1015513 31 907 771 -6051 0 0 0 -775 -764 0 521 3544 1936 -10000 -10000 0 0 0
1787956344.702 t 114 1015569 31 907 771 -6051 0 0 0 -775 -764 0 521 3544 1936 -10000 -10000 0 0 0
1787956344.752 t 115 1015625 31 907 771 -6051 0 0 0 -775 -764 0 521 3544 1936 -10000 -10000 0 0 0
1787956344.815 t 116 1015681 31 907 771 -6051 0 0 0 -775 -764 0 521 3544 1936 -10000 -10000 0 0 0
1787956344.864 t 117 1015737 31 907 771 -6051 0 0 0 -775 -764 0 521 3544 1936 -10000 -10000 0 0 0
